maintained	vzdrževana
1	Mesto 1.
pantaneto	Pantaneto.
missing	manjka
tidy	Urejeno
pub	gostilna
little	malo
chairs	stoli
manager	Upravitelj
dubai	Dubaj
crazily	grozljivo
radio	radio.
amazing	neverjetno
vieuz	vieuz.
camp	Kamp
lost	izgubljen
negative	negativno
rather	raje
akward	nerodno.
duck	Duck.
need	Potreba
thick	debela
machine	stroj
decided	odločil
vice	vice.
lock	Zaklepanje
issue	težava
courteous	vljuden
remark	Opomba
plays	igra
s	S.
place	Kraj
robe	boobe.
og	in
egg	jajce
probably	verjetno
using	z uporabo
trousers	hlače
destination	nadati
gilde	Guild.
disappointment	razočaranje
charm	čar
view	Pogled
people	Ljudje
york	York
generally	na splošno
heaven	nebesa
hand	roka
strip	trak
expected	pričakovano
europe	Evropa
dirt	umazanija
eran	bilo
trams	Trams.
evening	večer
remember	Zapomni si
score	rezultat
vacationpickalbatros	HowayPickalbatros.
don	ne
beware	Pazite
always	nenehno
curtains	zavese
resorts	letovišča
fantastically	fantastično
dirtyour	Dirtyour.
friends	prijatelji
th	th.
staircase	stopnišče
rear	zadaj
sray	Gostilna
keys	Keys.
spiderweb	pajkova mreža
oliver	Oliver.
build	graditi
conveniently	Udobje
ignorant	nevedni
keep	Hraniti.
streetside	STREEPSIDE.
choice	izbira
stone	kamen
restaurant	Restavracija
period	obdobje
lift	dvig
foot	stopala
never	nikoli
aqua	Aqua.
discounts	Popusti
anything	karkoli
rocko	Rocho.
option	možnost
chance	priložnost
clean	čisto
interesting	Zanimivo
ancient	starodavno
vacation	počitnice
attitude	Odnos.
6	6. 6.
coffee	kava
students	študente
short	kratek
titanic	titanik
scam	prevara
funny	smešno
convenient	priročno
saff	Layer.
yet	mesto
ride	Ride.
complained	se je pritožil
save	Shrani
peoplethe	peoplet.
break	premor
lord	Gospod
trained	usposobljeni
sure	zagotovo
holiday	Počitnice
9	9.
signal	Signal.
coach	trener
of	Od
read	preberite
toiletries	toaletne potrebščine
needwe	potrebujem
layout	postavitev
pitches	parcele
y	Y.
tele	tele
diffrent	drugačna
tube	Tube
hard	težko
leisure	prosti čas
lobby	Predverje
alley	Alley.
entertaintments	Značilnosti
described	opisano
supburb	sunburb.
delighed	z veseljem
ervery	vsak
businesstrips	Businessprippe.
meny	Meni
picturesque	slikovito
swiming	plavanje
budget	Proračun
girls	dekleta
pm	pm
traveling	Potovanje
rates	cene
fact	dejstvo
90	90.
peopel	Ljudje
humid	vlažno
home	doma
sri	Sri.
cafe	kavarna
sablon	Tiskanje zaslonske slike
rat	podgana
1mile	1mile
commonly	pogosto
cared	skrbel
customer	stranka
speed	Hitrost
generous	velikodušno
wery	Wery.
pleases	z veseljem
vips	VIPS.
value	vrednost
black	Črna
front	Front.
three	tri
tram	tramvaj
dirty	umazano
again	ponovno
eurostars	Eurostars.
helpfull	Pomavalo
designed	oblikovan
big	Big.
enter	vnesite
swipe	potegnite
splendid	čudovito
because	Ker
drinks	Pijače
asian	asian
miles	milje
reviews	Ocene
2010	2010.
local	lokalno
tastes	okus
amasing	amasing.
welcoming	pozdravljam
therethank	Therethank.
really	res
wellness	Wellness.
varieous	Vasieous.
inedible	neužiten
throughout	Skoraj
spoken	govorjeno
visiting	obisk
ones	tisti
feast	pojedina
any	kaj
own	lastnik
families	družine
restful	pomirjeno
cocktails	Cocktails.
is	je
day	Dan
ration	obrok
advantadge	prednost.
reef	greben
do	do
earth	Zemlja
shabby	Shaby.
kã¶ln	KÃ¶ln.
environment	okolje
normal	normalno
wc	stranišče
paths	poti
thats	to
rungis	Rungis.
per	Per.
waits	čaka
maid	služkinja
mega	mega.
2011	2011.
hearts	srca
stay	Ostanite
cleaness	Čistost
smaller	manjša
luxuryfood	Luksuzna sama
suite	Suite.
into	v.
boulevar	Boulevar.
hospitable	gostoljubno
smile	nasmeh
every	vsak
scenic	Scenic.
shape	obliko
connections	Povezave
amp;	AMP;
years	let
kids	otroci
swimmingpools	plavalni bazeni
ritz	ritz.
by	po
chears	TURCES.
bathrooms	kopalnice
land	zemljišče
lunch	kosilo
driving	Vozite
tuscany	TUSCANY.
architecture	Arhitektura
convenience	udobje
ideal	Idealno
available	na voljo
kept	hraniti
dat	To
various	različno
awful	grozno
dana	Dana.
being	biti
incredibly	neverjetno
holidaymy	Počitniška
vehicles	vozila
ground	tla
candy	sladkarije
swimmingpool	bazen
recomended	Priporočamo
express	Express.
carte	kartica
construction	Gradnja
reality	realnost
pay	Pay.
sheraton	sheraton.
enjoyed	uživa
executive	Executive.
number	številka
am	am.
waiter	natakar
thoroughfare	THEROUSHARE.
district	District.
allows	omogoča
14	14.
travelled	potoval
exceptional	izjemno
fist	pest.
3am	General.
tee	tee.
alone	sam
nespresso	Nespresso.
cleaners	Čistila
music	glasba
cabinets	omare
only	Samo
altstadt	Altstadt.
chldren	otroci
tiling	polaganje
surrounding	Okolica
yes	da
possibly	morda
paris	Paris.
design	oblikovanje
thoroughly	temeljito
program	Program.
acoustic	akustično
assoiated	povezan
holidys	Počitnice
10	10. 10.
walked	hodil
romantic	Romantic
visible	viden
technology	Tehnologija
apart	Apartma
staying	ostati
competent	Pristojen
kuku	Nail.
polish	Polish.
chaos	Chaos.
just	Samo
accompanied	spremlja
week	Teden
back	nazaj
impossible	nemogoče
catered	Poskrbi
8	8. 8.
via	VIA.
wide	širok
hamam	kopel
attractive	privlačen
75	75.
time	čas
paper	papir
games	igre
welcome	Dobrodošli
lagune	laguna
famous	slavni
walkways	Walkways.
yaer	WHO
stress	stres.
flower	cvet
redeeming	unovčenje
spaces	Prostori
tanning	Tanning.
needed	potrebno
take	vzemi
older	Starejši
quickly	hitro
affordable	cenovno dostopne
orders	naročil
too	tudi
requires	zahteva
toilet	WC
hotelmanager	HotelManager.
montjuic	Montjuic.
dusting	prašenje
terrace	Terrace.
couples	pari
okay	v redu
said	je rekel
cruise	križarjenje
reason	Razlog
hoped	upal
gone	Gone.
mexican	mehiški
stationthe	Stationthe.
dorint	Dorint.
pleasantly	prijetno
weeks	tednov
neighbourhood	okolico
worse	slabše
thing	stvar
standard	Standard.
game	Igra
four	štiri
swim	plavati
workers	delavci
century	Century.
running	teče
shows	prikaže
colorful	barvita
surprise	presenečenje
places	polji
cheese	Cheese.
bugs	Bugs.
travelodge	Travelodge.
purposed	namerno
sound	Sound.
elegant	eleganten
toast	toast.
luxurous	razkošno
france	Francija
goes	Gos.
roof	streho
within	znotraj
recommendation	Priporočilo
town	mesto
small	majhna
private	zasebno.
points	Točke
noisy	Noisy.
13	13.
gave	Dave.
reach	REACH.
supported	Podprto
practically	praktično
luxor	Luksor.
sunny	sončno
prepare	Pripravite se
broken	zlomljeno
locate	poiščite
dress	Obleka
european	Evropska
began	začel
tuscan	TUSCAN.
bad	slab
maker	ustvarjalec
meal	obrok
adjusted	Prilagojen
cigarrum	Cigarrum.
dogs	Psi.
received	prejeto
absolute	absolutno
closes	Zapre
cost	stane
odd	Čuden
case	Ovitek
brilliant	briljantno
etiquette	etiketa
channel	kanal.
new	novo
event	Dogodek
claustrophobic	claustrofobic.
recommendable	Priporočljivo
somewhat	nekoliko
flavouring	aroma
smiling	nasmeh
e	E.
hte	hme
look	Poglej
whenever	vsakič
police	Policija
restaraunts	restavracije
variety	sorte
dvd	DVD.
horrible	grozno
attentive	Pozorno
nord	sever
live	Živi
get	Pojdi
strongly	močno
fitness	fitnes.
noticed	opazil
menu	Meni
interested	zanima
dec	Dec.
bland	Bland.
through	skozi
originally	originalno
corridor	koridor
costs	stroškov
husaband	Havend.
or	ali
arrived	Prišel
reliable	zanesljiv
leeds	Leeds.
prepared	pripravljen
wg	v
busy	zaseden
everything	vse
see	Glejte
full	poln
disaster	nesreča
didn	ni bilo
storage	shranjevanje
ã	Ã-
some	nekaj
acceptable	Sprejemljivo
early	Zgonu
simple	Enostavo
steigenburger	Steigenberger.
anybody	kdorkoli
bass	bass.
infrastructure	infrastruktura
an	An.
magical	čarobno
held	VREDNO
though	čeprav
finish	Finish.
way	pot
helpful	koristno
offers	Ponudba
the	The
hope	upam
allow	Dovolite
ok	v redu
plaesantly	plezitno
thrown	vržen
shops	Trgovine
speaks	govori
restrooms	Sanit
shadows	Shadows.
wanted	želel
weekends	vikendi
style	Style.
setting	nastavitev
respects	spoštuje
brought	pripeljal
show	Pokaži
noticeable	opazen
urine	urine.
looking	Iskanje
condition	pogoj
favourite	Najljubši
drain	Drain.
tea	čaj
choices	izbira
recent	Nedavno
fit	FIT.
consider	UPOŠTEVAJTE
reached	dosegel
had	je imel
greek	Grk
stopped	ustavil
hostess	Hostesa
right	prav
situation	situacija
looked	Pogledal
complain	pritožba
martha	Martha.
grounds	razlogi
employees	zaposleni
climation	Podingding.
breathtaking	dih jemajoče
hade	imel.
amstel	amstel.
neighborhoods	soseske
playing	igranje
lighting	osvetlitev
montmartre	Montmartre.
renovated	prenovljen
kassandria	Kassandria.
golf	Golf
confirmation	Potrditev
downtown	Downtown.
renewed	obnovljena
seemed	zdelo se je
trimphe	Triomphe.
flies	muhe
dining	jedilnica
mail	Mail.
walk	hoje
airport	letališče
village	Vas.
damaged	poškodovana
pubs	pubi
shopping	Nakupovanje
he	On.
sea	morje
cracked	cracked.
dedicaced	predanost
smelled	vonjal
superfriendly	superfriendly.
them	njim
haven	haven
par	skozi
towels	brisače
future	Prihodnost
diidn	Zavrnitev
nor	NOR.
efficiently	učinkovito
louise	Louise.
variuos	različno
spa	SPA.
seems	se zdi
24	24.
forced	prisiljen
difficult	težko
london	London.
rain	dež
possibility	Možnost
allocated	dodeljena
tended	vodenje
streets	ulice
excellent	Odlično
buildings	stavbe
items	Postavke
childrens	otrok
once	enkrat
moneyi	moneyi.
delicacies	Delikacije
complaints	Pritožbe
stores	trgovine
antic	preteklost
diversity	raznolikost
7	7. 7.
usual	običajno
midnight	polnoči
luggage	Prtljaga
together	skupaj.
my	moj
thursday	Četrtek
welcomewould	pozdravljam
suprised	presenečenje
nite	Nite.
superb	Superb
hosts	gostitelji
offered	ponujen
unexpected	nepričakovan
makes	naredi
opportunitys	priložnosti
leave	dopust
recommendations	Priporočila
all	vse
away	proč
euro	evro
1300	1300.
everywhere	povsod
metro	Metro.
steam	pare
pity	usmiljenja
whole	Celoss
getting	Getting.
deal	Deal.
westminster	Westminster.
smokers	Kadilci
frills	Frills.
months	mesecev
steigenberger	Steigenberger.
rose	Rose.
someone	Nekdo
trier	Trier.
touristy	Turistična
sasha	sasha.
countryside	podeželje
invaded	Inpaded.
pretty	lepa
pricey	Price
trees	drevesa
owners	Lastniki
arena	arena
overall	Na splošno
needs	Potrebe
studio	studio.
pirates	Pirates.
appreciate	cenim
buy	kupite
mamlouk	mamlouk.
mess	nered
colors	Barve
marseillan	Marseillan
animation	animacija
dam	jez
liverpool	Liverpool.
treated	zdravljeni
afew	nekaj
wear	nositi
decorative	Dekorativna
eur	EUR
paid	plačano
extreme	ekstremno
bother	moti
minibar	Minibar.
ther	THER.
relaxing	sproščujoče
mostly	večinoma
apartments	Apartmaji
walking	hoditi
tub	Tub.
premises	prostori
rail	Rail.
player	Igralec
elderly	starejših
cuddle	Cuddle.
money	denar
vast	obsega
mean	pomeni
connect	Connect.
roadside	cesti
business	Poslovanje
tasteful	Okusno
unfortunately	Na žalost
enjoyable	prijetno
hotelthe	Hotel The..
screen	Zaslon
1st	1.
friendliness	prijaznost
major	major.
example	primer
upper	Zgornji
everyday	vsak dan
constantly	nenehno
personally	osebno
rude	nesramen
experienced	izkušeni
among	med
across	čez
dark	temno
reservation	Rezervacija
reception	recepcija
found	najdemo
wil	hočem
pizza	pizza
2	Mesto 2.
arranged	urejeno
steakhouse	Steakhouse.
in	v
rer	hitenje
typical	tipično
repair	Popravilo
summer	poletje
are	so
pluspoint	PlusPoint.
pillows	blazine
greets	pozdravi
amount	Znesek
preciseness	Natančnost
quiet	tih
procedures	postopke
classiest	klasično
card	kartica
foods	živila
der	The
versa	Versa.
weren	Oddelek
fabulous	čudovito
cuisine	Kuhinja
should	naj
were	bilo
bikes	Bikes.
adjacent	sosednja
thessaloniki	Solun
unconfortable	neudobno
impression	Vtis
putting	dajanje
cycling	kolesarjenje
looks	izgleda
30	30.
step	korak
piece	kos
delivery	Dostava
aside	na stran
gym	telovadnica
mistakes	Napake
tend	nagibati se
favorite	Najljubši
february	Februarjem
facility	objekt.
adult	odrasli
from	Od
surprisingly	presenetljivo
there	Tam.
garden	vrt.
following	naslednje
nearby	V bližini
entertain	zabavati
noice	NOICE.
fine	globa
fee	FEE
definitely	definitivno
abundant	obilno
key	Key.
directly	neposredno
centrally	centralno
its	To je
glad	vesel
faded	zbledel
prompt	Poziv
will	volja
expectations	pričakovanja
second	drugič
confortable	udobno
pyramid	piramida
while	medtem
simplistic	Poenostavljeno
bigger	večji
help	Pomoč
level	ravni
run	Run.
maximizes	maksimizira
heavily	močno
seen	videl
anna	Anna.
admire	občudovati
decent	dostojnik
addition	Dodatek.
hell	Hell.
volvereta	Volvera.
greatincredible	velikancrible.
taking	jemanje
her	njena
waiters	natakarji
products	izdelki
tables	tabele
returning	vračanje
redecorated	preurejeno
connection	Povezava
adults	odrasli
worst	najslabše
person	oseba
expect	pričakovati
eight	osem
around	okoli
linked	Povezano
invited	Povabljena
accommodation	Nastanitev
floaties	Plovbe
taught	učil
verry	verry.
nice	lepo
dishes	Posode
choises	izbira
flamingo	flamingo.
spend	porabite
lights	Luči
market	Trg
times	časov
hilton	Hilton.
train	vlak
rambla	rambla.
calling	klic
breakfast	zajtrk
theres	theres.
bulgaria	Bolgarija
except	Razen
laying	polaganje
cleaned	očiščen
rated	ocenjeno
700	700.
point	točka
was	Je bilo
check	Preverite
highways	avtocesta
inside	notranjost
wireless	Brezžično
ms	gospa
defiantly	dokaz
rum	rum.
compared	v primerjavi
match	ujemanje
subway	podzemna
staff	Osebje
friendly	prijazno
hot	Vroče
with	Z.
over	nad
department	Oddelek
beautiful	Lepo
competences	kompetence
including	vključno z
although	čeprav.
nevertheless	Kljub temu
refund	povračilo
deira	deira.
pass	Pass.
facilties	Objekti
builders	Builders.
ness	ness.
decoration	dekoracijo
oriental	Oriental
ihad	zaželeno
accustomed	navajen
equipped	Opremljena
this	to
aren	areen.
meals	obroki
anywhere	kjerkoli
happened	se je zgodilo
3	Mesto 3.
mini	mini.
paying	plačilo
work	Delo
inexpensive	poceni
â±	Â Â ±
accomodation	Nastanitev
poor	slabo
bike	kolo
jacuzzi	jacuzzi.
regard	spoštovati
space	PROSTOR
feature	funkcijo
rock	Rock.
to	To.
territory	Ozemlje
inn	gostilna
bands	Bands.
canine	pasjino
disappointing	razočaranje
asked	vprašal
anymore	več.
surprised	presenečen
boat	čoln
quit	prenehati
met	srečal
unforgettable	nepozabno
huge	ogromen
adequate	ustrezen
institute	Inštitut.
notre	Naša
holland	Nizozemska
royal	Royal.
painting	slika
nl	nl.
special	poseben
breakfasts	zajtrk
self	self.
treatment	Zdravljenje
mistake	napaka
sewage	kanalizacija
turkey	puran
partying	zabavo
cottage	Počitniška hiša
if	če.
higly	higly.
spoilt	razvajen
elina	elina
respective	ustrezni
empty	prazno
skype	Skype.
thinks	misli
light	Light.
cheap	poceni
simply	preprosto
kind	prijazna
lifestyle	Lifestyle.
options	opcije
weekend	vikend
climbs	vzpenjač
distance	razdalja
late	pozen
queue	čakalna vrsta
earned	zaslužil
improved	izboljšal
central	Central.
travelodges	Travelodges.
outdated	zastarela
breaks	zlomi
vineyards	vinogradi
c	c.
outstanding	Neporavnano
return	Vrnite se
legs	noge
cinema	kino
wait	počakati
paradise	raj.
foreign	tuje
side	Stran
high	High.
electrical	Električna
another	drugo
at	At.
nothing	nič
underground	podzemlje
two	dva
russian	ruski
massage	sporočilo
views	Ogledi
etc	itd
worn	obrabljena
flag	oznaka
super	super.
8th	8.
dolphin	Dolphin.
photos	Fotografije
basic	Osnovno
realy	res
heated	ogrevan
deter	deterder.
apartment	Apartma
where	kje
aerea	Aerial.
manicured	Manicured.
placed	postavljena
unmatched	neizravnano
maximum	največje
loveliest	Najlepše
sorted	razvrščeni
off	Off.
exact	Točka
rotten	Rotten.
pleasant	Prijetno
frienly	Prijazno
beautifully	lepo
careful	previden
booked	rezervirano.
