anna	Анна
lounge	салон
light	светло
paris	париз
restourant	Ресторан
views	погледи
isolation	изолација
interior	унутрашњост
doing	радити
talk	разговарати
flag	застава
recomend	прерадити
if	ако
literally	буквално
possibly	вероватноћа
generally	обично
vitosha	Витосха
wanted	трази се
customers	купци
happily	срећно
300	300
evening	вече
sure	наравно
land	земљиште
claiming	тврдити
buiseness	пословати
shelf	полица
you	ти
efficient	ефикасан
years	година
goes	иде
3	3
singles	синглови
right	јел тако
laughed	смејало се
various	разнолик
eurostars	ЕУРОСТАРС
opinion	мишљење
better	боље
walkways	шетнице
tanning	сунчање
convention	конвенција
nevertheless	ипак
spiderweb	СпидерВеб
plus	плус
pyramid	пирамида
chose	изабрати
instead	уместо тога
stars	Звездице
sercices	услуге
melia	Мелиа
structure	структура
alone	сама
six	шест
buildings	зграда
downside	стражара
profession	професија
never	невер
visitor	посетилац
round	рунда
smooth	гладак
year	година
painting	сликање
customer	купац
parking	паркинг
restaraunts	Ресторани
massage	масажа
perfekt	Савршен
gorgeous	диван
transfer	пренос
sray	гостионица
immediate	непосредан
left	лево
word	реч
contemporary	савремен
ât	"Т.
smelt	милован
supburb	преврнути
i	ја
accommodation	смештај
its	његово
package	пакет
unique	јединствен
centrally	централно
miles	миља
commonly	уобичајено
amenities	погодност
site	сајт
underconstruction	гради се
furnished	намештен
checking	проверавање
dansing	плесати
compact	компактан
healthy	здрав
mention	споменути
say	рећи
apartment	стан
foor	пена
putting	стављање
di	од
young	млад
noice	буке
nothing	ништа
ll	лл
looks	изглед
hospitality	гостопримство
argue	расправљати
resorts	одмаралишта
they	они
rent	закуп
date	датум
option	опција
order	наредити
betting	клађење
use	употреба
complained	жалити се
stained	обојен
pub	паб
fist	песница
adjusted	прилагођен
disclose	открити
once	једном
system	систем
royalty	краљевство
advantage	предност
adjacent	суседан
location	локација
hamam	купатило
charged	оптужен
tourist	туристички
entertain	забавити
steak	одрезак
open	отворен
sofa	Софа
copenhagen	копенхаген
flower	цвет
helpfull	помагати
presented	представљен
skype	скипе
connect	повезати
find	пронаћи
fact	чињеница
rebuilding	обновљивање
arrival	долазак
american	Американац
running	трчање
improved	побољшан
egg	јаје
surge	напредак
everyone	свима
allocated	Издвојено
persistent	упоран
issue	питање
airport	аеродром
rated	оцијењен
until	све док
zone	зона
advertised	оглашен
greek	грчки
not	не
residential	стамбени
palace	палата
nor	нити
offered	који се нуди
named	назван
stops	престани
darling	душо
lyon	лион
items	предмети
true	истина
sorted	сортиран
want	жен
cared	брига
mr	господин
conditioning	условљавање
yet	ипак
actual	стварни
cold	прехлађен
lunch	ручак
included	укључен
with	са
stains	мрље
typical	типичан
nord	Северно
40	40
exercise	вежби
competent	надлежан
bath	купатило
numerous	многобројан
reasonable	разуман
renovation	реновирање
insects	инсекти
was	био
restful	одморан
knowledge	знање
smiles	осмехнути
handicapped	хендикепиран
set	комплет
legs	ноге
stays	остане
positive	позитиван
la	тхе
moments	тренуци
death	смрт
taste	укус
gets	прећи
nes	као што
nationality	држављанство
heard	слушао
ness	нест
march	март
villa	вила
brocken	Броцкен
gladly	врло радо
following	следећи
bathroom	купатило
loud	гласан
ready	спреман
least	најмање
unfriendly	непријатељски
deskstop	десктоп
absolute	апсолутни
general	Генерал
35	35
match	утакмица
mother	мајка
travelodge	травелодге
through	кроз
ideally	у идеалном случају
troubles	невоље
cleaners	чистачи
phone	телефон
example	пример
butt	задњица
when	када
smokers	пушачи
highway	аутопут
facility	објекат
incredibly	невероватно
confirmation	потврда
luxury	луксузан
metro	метро
complaints	жалбе
hostel	Хостел
rest	одмор
than	него
deventer	Девентер
nearby	у близини
mgmt	мгмт
problems	проблеми
bridge	мост
live	живети
sun	сунце
sell	продати
four	четворо
inner	унутрашњи
interest	камате
money	новац
boulevar	булевар
sports	спортови
places	местима
reality	стварност
tasted	укусан
under	под
visited	посетила
lamps	лампе
haven	уточиште
happened	десило
restrooms	тоалети
necessary	неопходан
satisfied	задовољан
girl	девојка
kã¶ln	кА¼лн
gold	злато
amsterdam	Амстердам
elderly	старији
every	сваки
corridor	Коридор
courteous	уљудан
7	7
program	програм
serious	озбиљан
choose	изабрати
cant	канта
activities	активности
books	књиге
leave	одсуствовати
decorated	украшен украшен
placed	постављени
assist	помоћи
just	само
martha	Мартха
professional	професионалан
dancers	плесачи
connected	повезан
ervery	сваки
â	"
takes	тражити
champ	укинути
couples	парови
families	породице
mum	мама
pizza	пица
collapses	пропадање
likely	вероватно
wasnt	није био
quit	одустати
expensive	скупо
due	доспев
kuku	наказати
cooks	кувари
possible	могућ
upgrade	надоградити
very	врло
grandaughter	умањач
scrambled	кодиран
management	управљање
euro	еуро
me	ја
underneath	испод
âm	"М м
dark	мрак
personally	лично
bright	светао
buses	аутобуси
sasha	сасха
design	дизајн
cheap	јефтино
offer	понудити
star	Звезда
lost	изгубљен
family	породица
return	вратити се
lock	закључати
therefore	стога
began	почео
features	Карактеристике
elevators	лифтови
24	24
is	јесте
maximizes	максимизира
italien	Италија
purposed	намеран
transport	превоз
rimini	римини
receptionist	рецепционер
re	ре
stupid	глуп
son	сине
paying	плаћање
aerobic	аеробичан
transportation	транспорт
frankfurt	Франкфурт
trams	трамвај
based	заснован
lake	језеро
thursday	у четвртак
beaituful	Лепа
frienly	Пријатељски
possibility	могућност
tv	ТВ
self	за себе
sufficient	довољан
cleaness	чистоћа
amasing	који се бави
special	посебан
department	одељење
certainly	сигурно
another	други
chldren	деца
reliable	поуздан
favourite	омиљен
canine	пасина
behind	иза
dust	прашина
smoking	пушење
let	дозволити
seemed	чио се
thoroughly	темељно
boutiques	бутици
comfortablelounge	ЦомфортАблеЛоунге
blocks	блокови
rocko	роцко
campsite	камп
stop	зауставити
behold	гледати
camp	камп
most	највише
moquette	тепих
guest	гост
areas	подручја
twist	увити
frankfurtter	Франкфуртер.
seems	изгледа
feels	осећање
mega	мега
thank	захвалити
cologne	колоњски
cruise	крстарење
staffs	особље
gran	сјајно
sheraton	Схератон
3rds	3рдс
times	пролаз
flamingo	фламинго
gift	поклон
rate	рате
keep	задржати
each	сваки
receptionists	рецепционисти
thoroughfare	протумислити
10m2	10м2
old	стар
police	полиција
landscaped	уређен уређен
city	град
dated	датиран
walking	Ходање
costlier	огрлиш
faded	изблијеђен
them	њих
subway	Метро
animators	Аниматори
couple	пар
noise	бука
these	ове
marvelous	чудесан
streetside	Стреетсиде
downstairs	доле
morning	јутро
dogs	пси
card	карта
sã¶dermalm	СА¶ДЕРМАЛМ
cottages	викендице
alley	уличица
spacious	простран
poor	сиромашан
animation	анимација
knowledgeable	сродан
tidy	уредан
chair	столица
tram	трамвај
trimphe	триомпхе
outlet	излаз
woerden	воерден
unclog	унцати
par	кроз
stunning	задивљујући
window	прозор
minuscule	минускула
jean	јеан
spirits	духови
liked	волио
reach	досећи
improvement	побољшање
euros	Еурос
george	Георге
happy	срећан
speaking	говор
coffee	кафа
rooms	Собе
extremely	изузетно
reef	гребен
favorite	омиљен
sunny	сунчан
enthusiastic	ентузијастичан
stayed	остати
computers	рачунари
unexpected	неочекивано
glad	драга
bonus	бонус
tiny	сићушан
looking	гледа
level	навођење
halles	халлес
nicest	најлепши
liquires	упијање
catered	угоститељски
their	њихов
meters	метар
russian	Руски
og	и
designed	дизајниран
bugs	грешке
attending	похађање
age	старост
this	ово
15	15
top	на врху
below	доњи део
am	сам
recomended	препоручен
options	Опције
provides	пружа
2014	2014
normally	нормално
ijust	ја само
dine	твој
steigenberger	Стеигенбергер
should	требало би
jam	џем
grand	велик
pricey	скучен
selection	избор
worn	ношен
relaxing	опуштајући
destinations	дестинације
m	м
scenic	сценски
without	без
ultra	ултра
faulty	неисправан
picturesque	сликовит
blend	мешавина
worth	вреди
outdated	застарео
missing	нестали
aren	арен
does	да
constantly	стално
de	од
before	пре него што
moneyi	новац
executive	извршни
castelo	Дворац
how	како
be	бити
damaged	оштећен
taken	узети
cleaned	очишћен
beware	Пазите
central	средишњи
stopped	престао
volvereta	Волверета
ð¢his	ð ¢ Његов
out	излази
beer	пиво
myself	себе
entertaintments	антертантни
new	Нова
elevator	лифт
inclusive	укључив
wi	И
mixed	помешан
have	имати
unlike	за разлику од
environment	Животна средина
safety	безбедност
invite	позвати
anything	било шта
where	где
funiture	намештај
telling	који говори
exceptional	изузетан
cause	узрок
dish	јело
b	б
basic	основни
conected	повезан
modern	модеран
mangers	маниру
knew	знати
;	;
encountered	наиђен
2012	2012
york	иорк
major	главни
con	са
cocktails	коктела
one	једна
choice	избор
aqua	акуа
happiness	срећа
spoiled	покварен
hour	час
stylish	стилски
700	700
carpet	тепих
sunrise	излазак Сунца
floaties	плута
available	на располагању
enmenons	Енменни
strip	трака
next	следећи
needwe	потреев вееве
perfect	савршен
meetings	састанци
such	такав
safisfied	задовољан
9	9
diversity	разноврсност
prefer	преферирати
mall	тржни центар
rock	роцк
brought	доведен
owners	власници
tho	тхо
hopping	скакање
explain	објаснити
forthcoming	предстојећи
trip	путовање
corner	угао
crazily	луда
wellness	Спа
double	удвостручити
inspection	инспекција
express	изразити
timely	правовремено
addition	додатак
almost	скоро
saff	слој
planning	планирање
climbs	пењање
apartments	апартмани
flights	летови
walk	ходати
jumeriah	јумеирах
home	кућа
massive	масиван
bathrooms	купатила
75	75
easy	лак
min	ја
funny	смешан
waits	чекање
chef	Главни кувар
kids	клинци
traffic	саобраћај
alternation	наизменично
milk	млеко
refrigerator	фрижидер
whole	целина
playground	игралиште
point	тачка
foot	стопало
duck	патка
breaks	паузе
7th	Кука
given	дато
calling	зове
on	на
hoped	надати се
relaxatio	опуштање
observations	запажања
mould	калуп
fitness	фитнес
held	Одржан
passport	пасош
amel	поступак
day	дан
delighed	одушевљен
trips	излети
travelodges	путовања
cheese	сир
car	аутомобил
dirt	прљавштина
childrens	дечја
trousers	панталоне
much	много
wooden	дрвени
slendid	подлоге
town	Град
pleaseure	задовољство
love	љубав
neighborhoods	суседства
ancient	дречан
discounts	попуст
meny	мени
mistake	грешка
dutch	холандски
conveniently	прикладно
whisky	виски
different	различит
surprising	изненадан
smile	осмех
entrance	улаз
connections	прикључци
anyone	било ко
pre	пре
cars	аутомобили
been	бити
really	заиста
2013	2013
ignorant	незнање
hotelthe	Хотел Тхе
some	неки
cancelled	отказан
fast	брз
messe	мессе
secure	безбедан
hotels	хотели
getting	добити
were	су
neatly	уредно
th	у
wonderful	предивна
italian	Италијан
sunbed	лежаљка
sri	Шри
pompidou	Помпидоу
kind	врста
sheets	листови
hall	дворана
madrid	мадрид
step	Корак
whenever	било када
originally	оригинално
everything	све
among	међу
peopel	људи
royal	краљевски
five	пет
empty	празан
pretty	прилично
century	век
dedicaced	посвета
words	речи
variety	разноликост
real	прави
fee	надокнада
lift	лифт
taxi	такси
russians	Руси
dirtyour	прљав
bland	бедан
travelling	који путује
golf	голф
bilbao	билбао
afew	неколико
dusting	прашење
hosts	домаћин
junior	млађи
during	у току
periferique	периферијал
affordable	приступачан
carlton	Царлтон
break	пауза
space	размак
already	већ
month	месец дана
may	може
radio	радио
10	10
huge	огроман
easily	лако
fi	бити
restricted	ограничен
montmartre	МонтМартре
mice	мишеви
steam	паром
reception	рецепција
bedding	постељина
comforts	удобност
getaway	одлази
pluss	плус
accompanied	праћен
going	одлазак
leeds	Лидс
surroundings	околина
arrivals	доласци
read	читати
certain	сигуран
greatincredible	сјајан
change	променити
therethank	у току
travellers	путници
torn	поцепан
decided	одлучан
mountains	планине
avoided	избјећи
romantic	романтичан
thanks	Хвала
might	моћ
immidiately	одмах
requests	захтеви
track	траг
trash	смеће
olive	маслина
pass	прећи
deal	договор
adequate	адекватан
destroyed	уништен
in	у
regular	редовно
oterwise	иначе
haque	хакуе
willing	вољан
kallithea	Калитеа
meals	оброци
personal	лични
bigger	већи
daily	свакодневно
thrown	бачен
verz	стих
exceeded	премашила
kindly	љубазно
servings	порције
twin	двострук
touristy	туристички
suggest	предложити
1300	1300
because	јер
everybody	сви
built	саграђен
run	трцати
table	сто
found	нашао
overal	свуда
luxurous	луксузан
ago	пре
children	деца
pitch	висина тона
housekeeping	домаћинство
blonde	плавуша
attendance	похађање
worse	гори
greets	поздравља
providing	који пружа
by	од стране
spotlessly	беспрекорно
simple	једноставан
cool	хладан
gare	станица
plaesantly	прерађивати
forum	форум
educated	образован
casino	казино
manner	манир
loved	вољен
luxurious	луксузан
wish	желети
parts	делови
club	клуб
hermitage	пустињак
mail	Пошта
awesome	страшан
siro	сиро
free	бесплатно
too	такође
supermarket	супер маркет
4	4
leaking	цурење
front	предњи део
kinds	врсте
access	приступити
considering	с обзиром
swimmingpools	базени за пливање
5	5
from	од
fit	прикладан
nice	леп
vips	випс
finest	најфинији
street	улица
hi	Здраво
recent	скорашњи
highlights	хајлај
london	Лондон
part	део
canal	канал
noticeable	приметљив
definitely	дефинитивно
arc	лук
disadvantage	недостатак
cuisine	кухиња
avoid	избегавати
inexpensive	јефтин
dead	мртав
prepare	припремити
range	домет
restaurat	обновљена
second	на другом месту
windows	прозори
services	услуге
staircase	степениште
yes	да
jaccuzzi	јаццуззи
full	пун
extreme	екстремни
amstel	амстел
excecutive	извршни
reservations	резервације
eur	ЕУР
that	то
budget	буџет
holiday	празник
pathã©	ПатхА ©
nearly	скоро
tournaments	турнири
azerbaijan	Азербејџан
done	Готово
washbasin	умиваоник
explore	истражити
marseillan	марсеиллан
beach	плажа
toilet	тоалет
anywhere	било куда
chaos	хаос
sunbeds	лежаљке
but	али
olso	олсо
vast	огроман
layout	изглед
big	велики
18th	18.
book	књига
per	по
see	видети
tube	цев
idea	идеја
pictures	слике
matter	материсати
flamenco	фламенко
joy	радост
balu	лоптица
enjoyed	уживала
now	Сада
wall	зид
anyway	У сваком случају
procedures	Поступци
first	први
snorkelling	снорклеллинг
till	до
disabled	инвалидски
varieties	сорте
ther	то
desk	радни сто
km	КМ
visitors	посетиоци
pot	лонац
e	е
topaz	топаз
mountain	планина
jacuzzi	јацуззи
mean	значити
slow	спор
ship	брод
luxuries	луксуз
lifestyle	начин живота
moved	премештен
amination	аминација
flughaven	Аеродром
local	локални
driving	вожња
straight	равно
gilde	цеха
steps	кораци
preciseness	прецизност
restored	обновљена
earned	зарадили
alphons	алпхонс
visible	видљив
silent	ћудљив
having	који има
der	тхе
exact	тачан
unforgettable	незабораван
trier	трострук
thought	мисао
lights	светла
means	начинити се
minimal	минималан
costs	трошкови
territory	територија
spaces	размаци
drink	попити
bother	сметати се
actually	заправо
smelled	мирисао
tower	торањ
fault	кривица
higher	виши
genuine	прави, исправан
believe	веровати
travelled	Путовали
channel	канал
disco	дискотека
architecture	архитектура
air	ваздушни
website	веб сајт
lovely	љупко
unbelievable	невероватан
bar	бара
provide	обезбедити
incredible	невероватан
frills	фриллс
cloth	крпа
organised	организован
player	играч
attitudes	ставови
helped	помогао
wc	Тоалет
welcome	Добродошли
quiet	тихо
tea	чај
enter	ући
revisiting	преиспитивање
ingeniously	вешт
carte	карта
suprised	изненађен
choices	избор
missed	Пропустио
deira	деира
else	друго
degrees	степени
charge	напунити
lobby	лобирати
maximum	максимум
lanka	Ланка
field	поље
grey	сива
up	уп
type	тип
super	супер
admire	дивити се
alive	жив
â´	"
around	око
disclosed	откривен
rail	железничар
restaurant	Ресторан
pillows	јастуче
water	водити воду
our	наш
timing	временски време
horrible	ужасан
charming	шармантан
twice	два пута
amazing	Невероватно
climation	климација
les	тхе
aldo	алдо
my	мој
chosen	изабран
en	у
members	чланови
swipe	превуци
diffrent	разликован
hundred	стотину
paths	стазе
roof	кров
met	упознати
requires	захтева
attractive	атрактиван
disappointment	разочарање
immediately	одмах
vas	ти
recommend	препоручити
connection	прикључак
humid	влажан
smsevery	смсевери
rose	ружа
soap	сапун
flies	мува
manager	менаџер
bedroom	спаваћа соба
map	Мапа
floor	под
eyesi	Ока
south	јужно
finding	налаз
adult	одрасли
louvre	лоувре
working	рад
pleasant	пријатан
gobelins	гобелинс
2010	2010
languages	језици
ok	ок
all	све
tag	ознака
redeeming	који се може искористити
interesting	занимљив
near	близу
detail	детаљ
district	округ
hence	стога
competences	компетенција
30	30
bathrobes	огртач
excellent	одличан
february	фебруар
mini	мини
steigenburger	Стеигенбергер
disappointed	разочаран
rubber	гума
stationthe	кућна станица
ridiculous	смешан
damage	штета
swim	пливати
things	ствари
please	Молимо вас
barcelona	Барселона
aside	на страну
egypts	Египатс
products	производи
singer	певач
normal	нормалан
absolutely	апсолутно
recommendation	препорука
shadows	сенке
cafe	кафић
lots	пуно
largest	највећи
meet	сусрет
du	од
passed	положио
exceptionally	изузетно
orders	наређења
delivery	испорука
overall	целокупно
160	160
us	нас
repeatative	понављајући
complain	жалити се
rer	журити
honor	част
for	за
information	информације
place	место
team	тим
playing	играње
ve	и
screen	екран
helpful	користан
lagune	лагуна
house	кућу
professionell	професионалан
print	штампа
akward	неспретно.
nicely	лепо
hr	хр
quickly	брзо
shopping	шопинг
cooking	кување
hip	кук
concerning	се односе
iron	гвожђе
comparing	поредећи
expectations	Очекивања
unfortunately	нажалост
casa	Кућу
tip	Савет
miserable	јадан
namely	Наиме
houses	куће
tee	тее
hearts	срце
recommendable	који се може препоручити
desert	пустиња
seine	његов
breakfast	доручак
dream	сањати
similar	сличан
tried	Покушали
weekday	радни дан
small	мали
trouble	невоља
taught	подучавати се
less	мање
stations	станице
chance	шанса
peaceful	миран
starting	почетак
ate	Појео
rat	пацов
crowded	препун
tended	склон
visit	посетити
tend	тежити
louise	лоуисе
conference	конференција
repeat	понављање
schiphol	Сцхипхол
miss	Госпођица
compared	У поређењу
miro	миро
surprisingly	изненађујуће
music	музика
swans	лабудови
dj	ди дзеј
registration	Регистрација
spaciousthe	пространост
residents	становници
coach	тренер
plenty	доста
complaint	жалба
look	гледати
cross	крст
mamlouk	мамлоук
a	а
experienced	искусан
disadvantages	недостатак
hospitable	гостопримљив
san	сан
marvellous	чудесан
thinks	мислови
etc	итд
allow	дозволити
somewhat	помало
noticed	Приметио
abundant	обилан
hostess	домаћица
between	између
internet	Интернет
weekenders	викендири
german	Немачки
paper	папир
closes	затварање
downtown	Центар града
ride	возити се
highways	аутопути
separated	одвојен
dinner	вечерати
discovery	откриће
homeless	бескућник
touchwith	додиривање
diner	трпезар
nights	ноћери
partying	журка
students	студенти
do	урадити
served	послужен
unhappy	несрећан
shabby	који се тиче
cabinets	ормарићи
continental	континенталан
oversee	надгледати
finished	готов
1mile	1 миља
spoken	говорни
tennisfriends	Тениски пријатељи
april	Април
garage	гаража
cinema	биоскоп
classiest	класични
waiters	конобари
organization	организација
fairly	поштено
taking	узимање
escalator	покретне степенице
balcony	балкон
provided	обезбеђен
ones	оне
france	Француска
days	дани
nov	нема в
touristic	туристички
did	пре
fountain	фонтана
don	дон
magical	магичан
at	у
same	исти
bulgaria	Бугарска
dubai	Дубаи
hours	сати
daytime	дан
allowing	дозвољавајући
1st	Први
deserts	пустиње
cigarrum	цигареум
something	нешто
reached	досегнути
careful	опрезан
friendy	пријатељски
2	2
bloody	проклетљив
makes	чинити
then	онда
middle	у средини
impressions	утисци
firenze	Фиренца
gaps	празнине
together	заједно
rude	непристојан
gym	Теретана
arena	арена
etiquette	етикета
efficiently	ефикасно
ritz	ритз
ration	уроћивање
leisure	Слободно време
oriental	оријенталан
warm	топло
rain	киша
european	европски
feast	гозба
underground	под земљом
makers	произвођачи
equipment	опрема
excelent	одличан
needs	потреба
sneaky	лукав, препреден
workers	радници
within	у склопу
call	назвати
room	соба
animations	анимације
beginning	почетак
solved	решен
tha	Хоћу
decorative	декоративан
channels	канали
short	кратак
oberoi	Оберои
covered	покривен, затрпан
surprise	изненађење
ample	обилан
miami	Миами
drinks	пића
into	у
smoked	димљен
giant	џиновски
extra	додатни
seashore	морска обала
non	не
minutes	минута
handled	руковати
tasty	укусан
yard	двориште
work	рад
still	још увек
hole	рупа
hot	топло
won	победио
present	поклон
received	примљен
while	док
redecorated	прерађен
plays	играња
used	коришћен
splendid	сјајан
marinachania	марина
laying	полагање
holidays	празници
frequent	чести
take	преузети
intrusive	наметљив
tp	тп
exelent	изложити
reasons	разлози
audience	публика
experience	искуство
think	размислити
liable	одговоран
swiming	пливање
2011	2011
minute	минут
replenished	допуњен
walked	прошетао
tasteful	укусан
chairs	столице
comfortable	удобан
games	игре
welsh	велшки
wil	желим да
uncomfortable	неудобан
park	парк
â·	·
feb	фебруар
locate	лоцирати
flight	лет
size	величина
tornese	торнешки
aerobicthey	аеробицтхеи
roadside	ивичњак
cuddle	загрљај
bus	аутобус
safe	сеф
own	властити
attractions	атракције
international	међународни
facilities	објекти
priced	по цени
night	ноћ
request	захтев
completed	завршен
espaccely	укрстити
build	градити
possibilties	могућност
hotelmanager	ХотелМанагер
started	започети
extended	продужен
vivaldi	вивалди
support	подршка
welcoming	добродошлице
axaha	елб
powerful	моћан
needed	потребан
ideal	идеалан
columbus	Цолумбус
crazy	луд
tallinn	талин
monmarte	МонтМартре
triump	тријумфовати
tide	плима
overpriced	прецијењен
colleagues	колеге
disgusting	одвратан
t	т
immaculately	беспрекорно
close	Близу
probably	вероватно
neighbourhood	комшилук
friendly	пријатељски
seaside	морска обала
end	крај
friend	пријатељ
created	креиран
described	описани
months	месецима
confortable	удобан
intersection	раскрсница
stuff	ублажити
croissants	кроасани
breaker	прекидач
start	почетак
why	зашто
load	оптеретити
bit	мало
borring	Борринг.
asian	азијски
pleasantly	пријатно
rates	стопе
upper	горњи
linked	повезан
are	су
stuck	заглавити
square	квадрат
hurghada	Хургада
manicured	заношен
hang	окачити
shape	облик
foods	храна
must	морам
lack	недостатак
midnight	поноћ
foreign	страни
claustrophobic	клаустрофобичан
streets	улице
everywhere	свуда
far	далеко
superb	диван
terrible	страшан
bike	бицикл
checked	проверен
thessaloniki	Тхессалоники
including	укључујући
toast	тост
concept	концепт
diidn	одбијање
traveling	који путује
high	високо
proximity	близина
inn	гостионица
terrific	сјајан
husaband	Хавенанд.
spot	место
dishes	јела
early	рано
calm	миран
keys	тастери
nightclub	ноћни клуб
